Sl No,STATE/UT,YEAR,POPULATION,MALES,FEMALES,MALES(per_100k),FEMALES(per_100k),TOTAL IPC CRIMES,TOTAL IPC CRIMES(per_100k),ARSON,ARSON(per_100k),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(per_100k),ATTEMPT TO MURDER,ATTEMPT TO MURDER(per_100k),AUTO THEFT,AUTO THEFT(per_100k),BURGLARY,BURGLARY(per_100k),CAUSING DEATH BY NEGLIGENCE,CAUSING DEATH BY NEGLIGENCE(per_100k),CHEATING,CHEATING(per_100k),COUNTERFIETING,COUNTERFIETING(per_100k),CRIMINAL BREACH OF TRUST,CRIMINAL BREACH OF TRUST(per_100k),CRUELTY BY HUSBAND OR HIS RELATIVES,CRUELTY BY HUSBAND OR HIS RELATIVES(per_100k),CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER(per_100k),CUSTODIAL RAPE,CUSTODIAL RAPE(per_100k),DACOITY,DACOITY(per_100k),DOWRY DEATHS,DOWRY DEATHS(per_100k),HURT/GREVIOUS HURT,HURT/GREVIOUS HURT(per_100k),IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES(per_100k),INSULT TO MODESTY OF WOMEN,INSULT TO MODESTY OF WOMEN(per_100k),KIDNAPPING & ABDUCTION,KIDNAPPING & ABDUCTION(per_100k),KIDNAPPING AND ABDUCTION OF OTHERS,KIDNAPPING AND ABDUCTION OF OTHERS(per_100k),KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS(per_100k),MURDER,MURDER(per_100k),OTHER RAPE,OTHER RAPE(per_100k),OTHER THEFT,OTHER THEFT(per_100k),PREPARATION AND ASSEMBLY FOR DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY(per_100k),RAPE,RAPE(per_100k),RIOTS,RIOTS(per_100k),ROBBERY,ROBBERY(per_100k),THEFT,THEFT(per_100k),OTHER IPC CRIMES,OTHER IPC CRIMES(per_100k)
0,A&N Islands,2001,356,193,163,54213.48315,45786.51685,1316,369662.9213,8,2247.191011,38,10674.1573,0,0,8,2247.191011,128,35955.05618,0,0,16,4494.382022,4,1123.595506,20,5617.977528,18,5056.179775,0,0,0,0,0,0,0,0,236,66292.13483,0,0,2,561.7977528,4,1123.595506,0,0,4,1123.595506,26,7303.370787,6,1685.393258,122,34269.66292,0,0,6,1685.393258,26,7303.370787,8,2247.191011,130,36516.85393,646,181460.6742
1,Andhra Pradesh,2001,76210,38527,37683,50553.73311,49446.26689,260178,341396.1422,1744,2288.413594,7088,9300.616717,3110,4080.829287,6102,8006.823252,14440,18947.64467,14800,19420.02362,10782,14147.74964,288,377.9031623,1576,2067.970083,11582,15197.48065,272,356.9085422,0,0,428,561.6060884,840,1102.217557,69894,91712.3737,14,18.37029261,4542,5959.847789,2364,3101.955124,834,1094.344574,1530,2007.61055,5204,6828.500197,1742,2285.789267,27400,35953.28697,18,23.61894764,1742,2285.789267,6002,7875.606876,1258,1650.702008,33502,43960.11022,68688,90129.90421
2,Arunachal Pradesh,2001,1098,580,518,52823.31512,47176.68488,4684,426593.8069,26,2367.941712,156,14207.65027,106,9653.916211,72,6557.377049,496,45173.04189,0,0,60,5464.480874,8,728.5974499,82,7468.123862,22,2003.642987,6,546.4480874,0,0,44,4007.285974,0,0,932,84881.60291,0,0,6,546.4480874,166,15118.39709,56,5100.182149,110,10018.21494,166,15118.39709,66,6010.928962,814,74134.79053,4,364.298725,66,6010.928962,48,4371.584699,168,15300.54645,886,80692.16758,1236,112568.306
3,Assam,2001,26656,13777,12878,51684.42377,48311.82473,73754,276688.1753,882,3308.823529,1700,6377.55102,962,3608.943577,700,2626.05042,4846,18179.77191,4020,15081.03241,1150,4314.22569,92,345.1380552,748,2806.122449,2496,9363.745498,80,300.120048,0,0,1064,3991.596639,118,442.6770708,11610,43554.92197,0,0,8,30.0120048,2960,11104.44178,820,3076.230492,2140,8028.211285,2712,10174.06963,1634,6129.951981,10034,37642.55702,28,105.0420168,1634,6129.951981,5906,22156.36255,1374,5154.561825,10734,40268.60744,18630,69890.45618
4,Bihar,2001,82999,43244,39755,52101.83255,47898.16745,176864,213091.724,1004,1209.653128,1124,1354.233184,6838,8238.653478,2100,2530.150966,6466,7790.455307,4812,5797.660213,3318,3997.638526,170,204.8217448,1892,2279.545537,3116,3754.2621,500,602.4168966,0,0,2582,3110.880854,1718,2069.904457,15088,18178.53227,166,200.0024097,42,50.60301931,4318,5202.472319,3282,3954.264509,1036,1248.20781,7286,8778.419017,1776,2139.784817,17302,20846.03429,294,354.2211352,1776,2139.784817,17212,20737.59925,4406,5308.497693,19402,23376.18526,73334,88355.28139
5,Chandigarh,2001,901,507,394,56270.81021,43729.18979,6794,754051.0544,10,1109.877913,48,5327.413984,20,2219.755827,988,109655.9378,728,80799.1121,12,1331.853496,310,34406.21532,4,443.9511654,52,5771.36515,72,7991.120977,12,1331.853496,0,0,10,1109.877913,6,665.9267481,190,21087.68036,0,0,30,3329.63374,112,12430.63263,12,1331.853496,100,11098.77913,30,3329.63374,36,3995.560488,2070,229744.7281,0,0,36,3995.560488,182,20199.77802,44,4883.462819,3058,339400.6659,1828,202885.6826
6,Chhattisgarh,2001,20834,10474,10360,50273.59125,49726.40875,76920,369204.1855,430,2063.933954,3526,16924.25842,1058,5078.237496,1840,8831.717385,8288,39781.127,1378,6614.188346,804,3859.07651,16,76.79754248,308,1478.352693,1680,8063.74196,90,431.9861764,0,0,174,835.1732745,140,671.9784967,10954,52577.51752,0,0,322,1545.550542,414,1987.136412,72,345.5889412,342,1641.54747,1760,8447.729673,1918,9206.105405,7784,37362.00442,38,182.3941634,1918,9206.105405,1742,8361.332437,676,3244.69617,9624,46193.7218,31580,151579.1495
7,D&N Haveli,2001,220,122,99,55454.54545,45000,700,318181.8182,2,909.0909091,14,6363.636364,4,1818.181818,30,13636.36364,68,30909.09091,0,0,24,10909.09091,2,909.0909091,26,11818.18182,8,3636.363636,0,0,0,0,0,0,0,0,58,26363.63636,0,0,0,0,8,3636.363636,4,1818.181818,4,1818.181818,6,2727.272727,12,5454.545455,60,27272.72727,0,0,12,5454.545455,8,3636.363636,4,1818.181818,90,40909.09091,366,166363.6364
8,Daman & Diu,2001,158,93,66,58860.75949,41772.1519,478,302531.6456,6,3797.468354,0,0,10,6329.113924,40,25316.4557,86,54430.37975,0,0,18,11392.40506,2,1265.822785,10,6329.113924,8,5063.291139,0,0,0,0,0,0,0,0,42,26582.27848,0,0,0,0,10,6329.113924,4,2531.64557,6,3797.468354,14,8860.759494,0,0,40,25316.4557,0,0,0,0,46,29113.92405,0,0,80,50632.91139,146,92405.06329
9,Delhi UT,2001,13851,7607,6243,54920.22237,45072.55794,108768,785271.8215,100,721.9695329,1004,7248.57411,1020,7364.089235,15788,113984.5499,6058,43736.9143,864,6237.816764,4366,31521.18981,84,606.4544076,958,6916.468125,276,1992.635911,126,909.6816114,0,0,96,693.0907516,226,1631.651144,4022,29037.61461,0,0,180,1299.545159,3254,23492.8886,1326,9573.316006,1928,13919.57259,1094,7898.34669,762,5501.407841,22764,164349.1445,148,1068.514909,762,5501.407841,330,2382.499459,1248,9010.17977,38552,278333.6943,44000,317666.5945
